YEAR,msa,HH,NEWHH,MISSINGHH,housing_units_seasonal,housing_units_uninhabitable,housing_units_vacant,housing_units,vacancy_rate,necessary_units,available_units,underproduction
2019,"Denver-Aurora-Lakewood, CO",1188045,1266142.4418111749,78097.44181117482,8701,1228,34065,1247013,0.027317277365993778,1332781.5176959736,1237084,95697.51769597363
2019,"Fort Collins, CO",146623,150810.5149964062,4187.51499640618,4592,40,2042,154407,0.013224789031585355,158747.91052253282,149775,8972.910522532824
2019,"Grand Junction, CO",55950,57859.852374377864,1909.8523743778608,368,NA,874,59457,0.014699698942092604,60905.107762503016,59089,1816.1077625030157
2019,Not in identifiable area,505848,528252.6012372669,22404.601237266852,93522,1034,23062,641883,0.03592866612762762,556055.3697234389,547327,8728.369723438867
2019,"Pueblo, CO",62899,64963.14747614234,2064.1474761423374,957,122,1415,67697,0.020901960205031243,68382.26050120246,66618,1764.2605012024578
2020,"Colorado Springs, CO",277121,298831.1853196935,21710.185319693523,3803,729,8678,295263,0.02939074655476643,314559.1424417827,290731,23828.142441782693
2020,"Denver-Aurora-Lakewood, CO",1185731,1279829.2648518046,94098.2648518046,10692,1414,34889,1246707,0.027984923482422094,1347188.6998440048,1234601,112587.69984400482
2020,"Fort Collins, CO",145449,153722.83798827953,8273.83798827952,3551,837,4172,153772,0.027131077179200373,161813.5136718732,149384,12429.513671873196
2020,"Grand Junction, CO",46155,50866.3183797636,4711.318379763601,394,262,1811,49197,0.03681118767404516,53543.49303133011,48541,5002.493031330108
2020,Not in identifiable area,485862,517982.7101947806,32120.71019478061,94528,8027,22447,622584,0.036054572555671204,545244.9580997691,520029,25215.95809976908
2020,"Pueblo, CO",65265,70018.43238895155,4753.432388951549,454,731,393,70142,0.005602919791280545,73703.61304100163,68957,4746.613041001634
2021,"Colorado Springs, CO",294801,308087.22430688125,13286.224306881279,3849,1014,6173,309585,0.01993959655668072,324302.3413756645,304722,19580.341375664517
2021,"Denver-Aurora-Lakewood, CO",1225311,1287391.4203576783,62080.42035767828,10143,2108,42148,1297416,0.032486110854190176,1355148.8635343984,1285165,69983.86353439838
2021,"Fort Collins, CO",152127,154966.9506627156,2839.950662715586,6078,464,2061,162058,0.012717668982709894,163123.10596075325,155516,7607.105960753252
2021,"Grand Junction, CO",56408,57742.6028806483,1334.6028806482982,235,473,1704,60179,0.028315525349374367,60781.68724278769,59471,1310.6872427876879
2021,Not in identifiable area,518631,542779.2957237075,24148.29572370752,81992,7847,21514,642071,0.033507197802112226,571346.627077587,552232,19114.62707758695
2021,"Pueblo, CO",65734,67431.2923434292,1697.292343429197,935,784,977,69474,0.014062814865993034,70980.30772992548,67755,3225.30772992548
2022,"Colorado Springs, CO",306177,315873.44110446854,9696.441104468557,3259,329,5841,318557,0.01833580803435492,332498.3590573353,314969,17529.3590573353
2022,"Denver-Aurora-Lakewood, CO",1237670,1295650.4768462726,57980.476846272475,9538,1823,38983,1303300,0.02991099516611678,1363842.6072066028,1291939,71903.60720660281
2022,"Fort Collins, CO",154385,158382.7696717016,3997.7696717015815,4576,636,2538,164525,0.015426227017170642,166718.70491758065,159313,7405.704917580646
2022,"Grand Junction, CO",59012,60848.59186781501,1836.5918678150128,932,NA,1359,62072,0.021893929630106973,64051.14933454212,61140,2911.1493345421186
2022,"Greeley, CO",123832,133548.84468313566,9716.844683135643,83,582,3438,128978,0.026655708725519082,140577.73124540597,128313,12264.731245405972
2022,Not in identifiable area,440207,450345.86348572746,10138.863485727476,71282,4343,17427,544830,0.03198612411210836,474048.27735339734,469205,4843.277353397338
2022,"Pueblo, CO",63281,65701.11109630189,2420.111096301888,427,259,992,67943,0.014600473926673829,69159.06431189673,67257,1902.0643118967273
2023,"Colorado Springs, CO",311544,316998.62188284803,5454.621882848029,4251,587,7987,327258,0.024405820484144008,333682.75987668213,322420,11262.759876682132
2023,"Denver-Aurora-Lakewood, CO",1257157,1309060.6123177256,51903.6123177256,10551,2366,34764,1322418,0.026288208418215723,1377958.5392818165,1309501,68457.53928181645
2023,"Fort Collins, CO",156514,161312.35906023267,4798.359060232673,4996,347,4343,167381,0.0259467920492768,169802.48322129756,162038,7764.48322129756
2023,"Grand Junction, CO",62219,63839.294843653304,1620.2948436533034,906,352,412,64516,0.006386012772025544,67199.25773016138,63258,3941.2577301613783
2023,"Greeley, CO",129043,136446.340345903,7403.340345903015,329,97,3693,134498,0.027457657362934765,143627.7266798979,134072,9555.726679897896
2023,Not in identifiable area,448425,458047.7716214668,9622.771621466767,72722,3508,15737,553584,0.028427483453278998,482155.5490752282,477354,4801.54907522822
2023,"Pueblo, CO",63359,64385.302207795845,1026.302207795848,1067,222,1843,68438,0.026929483620210994,67774.00232399564,67149,625.0023239956354
2000,Colorado Statewide,1656640,1684087.1996397744,27447.199639774422,74612,2467,61118,1807842,0.25520998108710374,1772723.3680418679,1730763,41960.368041867834
2001,Colorado Statewide,1759996,0,0,34417,3666,67837,1874400,0.03619131455399061,0,1836317,0
2002,Colorado Statewide,1777348,0,0,30467,731,73740,1929092,0.03822523757290995,0,1897894,0
