YEAR,msa,HH,HH_se,NEWHH,NEWHH_se,MISSINGHH,MISSINGHH_se,housing_units_seasonal,housing_units_seasonal_se,housing_units_uninhabitable,housing_units_uninhabitable_se,housing_units_vacant,housing_units_vacant_se,housing_units,housing_units_se,vacancy_rate,necessary_units,necessary_units_se,available_units,available_units_se,underproduction,underproduction_se
2012,"Fort Collins, CO",124033,4390.832363682732,126642.79242903205,4071.0736776011245,2609.7924290320534,5987.741622216211,6670,1281.2728964221615,287,286.9999999942912,3152,906.7625441433108,134704,4675.548875861373,0.0233994536168191,133308.20255687585,7815.919444631485,127747,4856.417046102127,5561.2025568758545,9201.81413041145
2012,"Grand Junction, CO",51627,3120.24521362544,53134.67672566813,3095.1990182655795,1507.6767256681262,4395.018447722908,1232,656.8623369831464,68,68.00000000161265,735,406.952521892886,54524,3249.9529469843496,0.013480302252219207,55931.23865859803,5673.685904596676,53224,3316.366428391085,2707.2386585980275,6571.833688657865
2012,Not in identifiable area,460275,8184.598512868343,478138.72233991005,7862.822907210272,17863.722339910048,11349.521438677371,79991,3858.8162701215256,4597,880.0533803275968,30154,2489.8886126166917,590349,9530.343667204812,0.05107826048659352,503303.9182525369,14729.29467270941,505761,10319.51584977762,-2457.0817474630894,17984.563629104745
2012,"Pueblo, CO",59331,2703.7557619656623,61060.13143217098,2606.420616249231,1729.1314321709824,3755.492464267708,643,296.8811882810903,NA,NA,2614,711.9754975659731,65624,2900.154216950388,0.039832987931244665,64273.82256017998,4871.082500921706,64981,2915.3100902048673,-707.1774398200214,5676.836940835625
2013,"Colorado Springs, CO",250598,6350.42971347496,266246.84786553524,6009.138663644527,15648.847865535228,8742.865950287309,4542,1016.9209726159038,1608,743.6467579643446,10394,1722.8723455444222,271918,6767.968699470401,0.03822475893467884,280259.83985845814,11374.543311058982,265768,6884.223927371045,14491.839858458145,13295.592300358214
2013,"Denver-Aurora-Lakewood, CO",1067436,12463.761906411008,1121678.9760406408,11766.136476977914,54242.97604064075,17140.225449350786,11309,1603.0549726205188,3152,882.1917228059779,31954,2843.007576951841,1127138,12952.704871896167,0.028349678566422214,1180714.7116217273,22308.158807456468,1112677,13081.307693784802,68037.71162172733,25860.675945500167
2013,"Fort Collins, CO",123880,4344.283136363093,127717.86790061081,4047.187281134031,3837.8679006108146,5937.383334219025,5795,1165.5039787655012,367,264.05470676094353,3008,921.7699744340429,136079,4693.326494873012,0.022104806766657603,134439.8609480114,7744.201070678831,129917,4843.081457105364,4522.8609480113955,9133.897756339347
2013,"Grand Junction, CO",52301,3187.230976869539,54194.30210549069,3115.671209164949,1893.3021054906912,4457.112112515921,1319,621.7368175982242,NA,NA,1106,511.47272113749244,55661,3356.4154522868107,0.019870286196798478,57046.633795253365,5767.834169477829,54342,3413.5145171372633,2704.633795253365,6702.237862483161
2013,Not in identifiable area,448707,7992.9119779875755,472730.90078156866,7685.848540502782,24023.90078156865,11088.683856770649,91659,4223.32452922781,3661,909.9139251637164,26902,2380.7103603808805,590186,9532.949217622712,0.04558224017513123,497611.4745069144,14388.57470580591,494866,10466.209161685889,2745.474506914383,17792.487636098424
2013,"Pueblo, CO",59809,2870.3937531612537,61277.93506360918,2661.790167920071,1468.9350636091733,3914.6247835805552,655,342.87383071928724,517,258.6438768097885,2809,794.9657249708606,66309,3084.3932620385103,0.04236227359785248,64503.08954064124,5109.7047954162135,65137,3114.1517165533023,-633.9104593587617,5983.897058774602
