msa,AGEGROUP,MET2013,NEWHR,PUMA,age_dummy,YEAR,NEWHH_,NEWHH__se,HH,HH_se,NEWHH,NEWHH_se,MISSINGHH,MISSINGHH_se
"Denver-Aurora-Lakewood, CO","[20,25)",19740,0.3084410135928847,820,TRUE,2005,1496.8642389662696,236.9451124662471,1823,503.25976960212387,1823,503.25976960212387,0,711.7167915680826
"Denver-Aurora-Lakewood, CO","[20,25)",19740,0.3084410135928847,821,TRUE,2005,2823.4690384292667,578.6061090156637,2162,661.9456920912102,2823.4690384292667,578.6061090156637,661.4690384292667,879.1798045157528
"Denver-Aurora-Lakewood, CO","[20,25)",19740,0.3084410135928847,822,TRUE,2005,2054.5255915422053,341.80345230813174,1668,656.5736764470023,2054.5255915422053,341.80345230813174,386.52559154220535,740.2152339778547
"Denver-Aurora-Lakewood, CO","[25,30)",19740,0.47449585480618417,801,TRUE,2005,1787.9003809097019,382.87790782932314,2008,547.6413349059922,2008,547.6413349059922,0,774.4818031401604
"Denver-Aurora-Lakewood, CO","[25,30)",19740,0.47449585480618417,804,TRUE,2005,2859.786516916872,442.7872253744609,2423,559.8253572584598,2859.786516916872,442.7872253744609,436.7865169168722,713.7681399336733
"Denver-Aurora-Lakewood, CO","[25,30)",19740,0.47449585480618417,805,TRUE,2005,4195.966844051087,549.3792387240221,4737,904.8557618150367,4737,904.8557618150367,0,1279.6592903502637
"Denver-Aurora-Lakewood, CO","[25,30)",19740,0.47449585480618417,806,TRUE,2005,5198.102089401747,797.920433860906,4705,1038.736804898748,5198.102089401747,797.920433860906,493.10208940174743,1309.8286791119044
"Denver-Aurora-Lakewood, CO","[25,30)",19740,0.47449585480618417,807,TRUE,2005,6069.276478825902,1045.4321599138561,6943,1910.679564448752,6943,1910.679564448752,0,2702.1089533925433
"Denver-Aurora-Lakewood, CO","[25,30)",19740,0.47449585480618417,808,TRUE,2005,5769.395098588393,925.336278286627,5253,1166.2246182510844,5769.395098588393,925.336278286627,516.395098588393,1488.7333838294328
"Denver-Aurora-Lakewood, CO","[25,30)",19740,0.47449585480618417,809,TRUE,2005,4086.358301590858,720.9794027646456,5288,1363.68680207041,5288,1363.68680207041,0,1928.5443703171684
"Denver-Aurora-Lakewood, CO","[25,30)",19740,0.47449585480618417,810,TRUE,2005,3675.444891328703,630.2227744311713,4971,1188.971644842017,4971,1188.971644842017,0,1681.4598254126272
"Denver-Aurora-Lakewood, CO","[25,30)",19740,0.47449585480618417,811,TRUE,2005,2355.8719191127043,409.7563276752103,2885,716.1686648592995,2885,716.1686648592995,0,1012.8154387906532
"Denver-Aurora-Lakewood, CO","[25,30)",19740,0.47449585480618417,812,TRUE,2005,4983.629963029352,817.1706014961935,5143,1366.0445260099675,5143,1366.0445260099675,0,1931.8786954888221
"Denver-Aurora-Lakewood, CO","[25,30)",19740,0.47449585480618417,813,TRUE,2005,3677.3428747479275,485.6185583994912,3736,707.7980356201836,3736,707.7980356201836,0,1000.9775813950986
"Denver-Aurora-Lakewood, CO","[25,30)",19740,0.47449585480618417,814,TRUE,2005,4952.3132366121445,637.2079881707181,6498,1122.4755200738512,6498,1122.4755200738512,0,1587.4201039202335
"Denver-Aurora-Lakewood, CO","[25,30)",19740,0.47449585480618417,815,TRUE,2005,5781.731990813354,659.5874362300481,7347,1051.2791856457413,7347,1051.2791856457413,0,1486.7332821807502
